Randy,Johnson,100,95,91,80,87,89
Martin,Lin,90,90,90,90,90,90
Tony,Nowakowski,100,100,100,100,100,100
Zeke,Abrahams,68,56,55,45,59,65
Annette,Dill,78,83,78,90,93,100
Jane,Eyre,80,66,89,79,77,80
Bill,Rogers,100,67,44,78,55,68
Nancy,Hill,67,78,81,89,85,90
Conrad,Lai,89,87,87,69,78,77
Sue,Fox,88,65,78,90,93,86
Bob,Clark,78,89,88,94,84,99
Larry,Scott,88,45,67,67,80,94
John,Brown,77,89,93,75,80,80
Barb,Meyers,89,90,87,91,92,91
Andy,Warhol,77,89,75,67,82,89
Lynn,Velez,71,79,72,71,78,77
Carl,Toth,56,67,77,78,89,79
Adam,Thompson,92,93,93,91,93,93
